2022-02-26/15:47:29		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:32		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:32		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:32		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:33		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:33		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:34		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:34		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:34		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:35		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:35		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:35		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:36		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:36		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:36		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:36		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:36		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:37		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:37		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:41		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:42		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:43		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:44		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:46		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:48		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-26/15:47:48		 wafer_13012020_090817.csv: File loaded successfully!!
