2022-02-26/15:47:15		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-26/15:47:17		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-26/15:47:18		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-26/15:47:20		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-26/15:47:22		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-26/15:47:24		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-26/15:47:26		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-26/15:47:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-26/15:47:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-28/01:19:53		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-28/01:19:56		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-28/01:19:58		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-28/01:20:00		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-28/01:20:02		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-28/01:20:04		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-28/01:20:07		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-28/01:20:10		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-28/01:20:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-28/01:21:43		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-28/01:21:46		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-28/01:21:49		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-28/01:21:52		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-28/01:21:55		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-28/01:21:58		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-28/01:22:02		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-28/01:22:05		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-28/01:22:08		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-28/12:40:39		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-28/12:40:43		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-28/12:40:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-28/12:40:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-28/12:40:54		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-28/12:40:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-28/12:41:09		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-28/12:41:18		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-28/12:41:25		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-22/13:40:44		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-22/13:40:46		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-22/13:40:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-22/13:40:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-22/13:40:51		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-22/13:40:53		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-22/13:40:55		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-22/13:40:57		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-22/13:40:59		 wafer_29012020_050617.csv: File Transformed successfully!!
