,columns,missing values count
0,Sensor - 1,8
1,Sensor - 2,24
2,Sensor - 3,104
3,Sensor - 4,104
4,Sensor - 5,104
5,Sensor - 6,104
6,Sensor - 7,104
7,Sensor - 8,64
8,Sensor - 9,16
9,Sensor - 10,16
10,Sensor - 11,16
11,Sensor - 12,16
12,Sensor - 13,16
13,Sensor - 14,24
14,Sensor - 15,24
15,Sensor - 16,24
16,Sensor - 17,24
17,Sensor - 18,24
18,Sensor - 19,24
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,8
22,Sensor - 23,8
23,Sensor - 24,8
24,Sensor - 25,8
25,Sensor - 26,8
26,Sensor - 27,8
27,Sensor - 28,8
28,Sensor - 29,8
29,Sensor - 30,8
30,Sensor - 31,8
31,Sensor - 32,8
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,113
41,Sensor - 42,113
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,8
54,Sensor - 55,8
55,Sensor - 56,8
56,Sensor - 57,8
57,Sensor - 58,8
58,Sensor - 59,8
59,Sensor - 60,41
60,Sensor - 61,41
61,Sensor - 62,41
62,Sensor - 63,41
63,Sensor - 64,41
64,Sensor - 65,41
65,Sensor - 66,41
66,Sensor - 67,41
67,Sensor - 68,41
68,Sensor - 69,41
69,Sensor - 70,41
70,Sensor - 71,41
71,Sensor - 72,41
72,Sensor - 73,4258
73,Sensor - 74,4258
74,Sensor - 75,41
75,Sensor - 76,192
76,Sensor - 77,192
77,Sensor - 78,192
78,Sensor - 79,192
79,Sensor - 80,192
80,Sensor - 81,192
81,Sensor - 82,192
82,Sensor - 83,192
83,Sensor - 84,8
84,Sensor - 85,16
85,Sensor - 86,4927
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,408
90,Sensor - 91,408
91,Sensor - 92,40
92,Sensor - 93,16
93,Sensor - 94,16
94,Sensor - 95,40
95,Sensor - 96,40
96,Sensor - 97,40
97,Sensor - 98,40
98,Sensor - 99,40
99,Sensor - 100,40
100,Sensor - 101,40
101,Sensor - 102,40
102,Sensor - 103,40
103,Sensor - 104,16
104,Sensor - 105,16
105,Sensor - 106,40
106,Sensor - 107,40
107,Sensor - 108,40
108,Sensor - 109,40
109,Sensor - 110,2318
110,Sensor - 111,2318
111,Sensor - 112,2318
112,Sensor - 113,4494
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,192
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,24
122,Sensor - 123,24
123,Sensor - 124,24
124,Sensor - 125,24
125,Sensor - 126,24
126,Sensor - 127,24
127,Sensor - 128,24
128,Sensor - 129,24
129,Sensor - 130,24
130,Sensor - 131,24
131,Sensor - 132,24
132,Sensor - 133,24
133,Sensor - 134,24
134,Sensor - 135,24
135,Sensor - 136,0
136,Sensor - 137,8
137,Sensor - 138,24
138,Sensor - 139,104
139,Sensor - 140,104
140,Sensor - 141,104
141,Sensor - 142,104
142,Sensor - 143,104
143,Sensor - 144,64
144,Sensor - 145,16
145,Sensor - 146,16
146,Sensor - 147,16
147,Sensor - 148,16
148,Sensor - 149,16
149,Sensor - 150,24
150,Sensor - 151,24
151,Sensor - 152,24
152,Sensor - 153,24
153,Sensor - 154,24
154,Sensor - 155,24
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,6215
158,Sensor - 159,6215
159,Sensor - 160,8
160,Sensor - 161,8
161,Sensor - 162,8
162,Sensor - 163,8
163,Sensor - 164,8
164,Sensor - 165,8
165,Sensor - 166,8
166,Sensor - 167,8
167,Sensor - 168,8
168,Sensor - 169,8
169,Sensor - 170,8
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,113
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,8
191,Sensor - 192,8
192,Sensor - 193,8
193,Sensor - 194,8
194,Sensor - 195,8
195,Sensor - 196,8
196,Sensor - 197,41
197,Sensor - 198,41
198,Sensor - 199,41
199,Sensor - 200,41
200,Sensor - 201,41
201,Sensor - 202,41
202,Sensor - 203,41
203,Sensor - 204,41
204,Sensor - 205,41
205,Sensor - 206,41
206,Sensor - 207,41
207,Sensor - 208,41
208,Sensor - 209,41
209,Sensor - 210,41
210,Sensor - 211,192
211,Sensor - 212,192
212,Sensor - 213,192
213,Sensor - 214,192
214,Sensor - 215,192
215,Sensor - 216,192
216,Sensor - 217,192
217,Sensor - 218,192
218,Sensor - 219,8
219,Sensor - 220,16
220,Sensor - 221,4927
221,Sensor - 222,0
222,Sensor - 223,0
